Região,Sigla UF,UF,Código IBGE Município,Município,Tipo Crime,Mês,Mês/Ano,PC-Qtde Ocorrências
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,1,01/2017,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,2,02/2017,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,3,03/2017,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,4,04/2017,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,5,05/2017,8.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,6,06/2017,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,1,01/2017,146.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,2,02/2017,38.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,3,03/2017,130.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,4,04/2017,109.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,5,05/2017,168.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,6,06/2017,123.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,1,01/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,2,02/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,4,04/2017,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,5,05/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,1,01/2017,27.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,2,02/2017,26.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,3,03/2017,28.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,4,04/2017,27.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,5,05/2017,25.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,6,06/2017,29.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,1,01/2017,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,2,02/2017,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,3,03/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,4,04/2017,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,5,05/2017,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,6,06/2017,8.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,1,01/2017,34.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,2,02/2017,46.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,3,03/2017,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,4,04/2017,23.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,5,05/2017,33.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,6,06/2017,35.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,1,01/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,2,02/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,3,03/2017,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,4,04/2017,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,5,05/2017,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,6,06/2017,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,1,01/2017,28.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,2,02/2017,55.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,3,03/2017,30.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,4,04/2017,23.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,5,05/2017,25.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,6,06/2017,15.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo seguido de morte (latrocínio),1,01/2017,1.0
